MONTH,T10Y2Y,HOUST,IPMAN,PCE,UNRATE,CPIAUCSL,USRECM
6/1/1976,0.801363636,1495,39.6582,1140.5,7.6,56.7,0
7/1/1976,0.937272727,1401,39.9249,1149.6,7.8,57,0
8/1/1976,1.137272727,1550,40.1817,1158,7.8,57.3,0
9/1/1976,1.124545455,1720,40.2817,1168.8,7.6,57.6,0
10/1/1976,1.359047619,1629,40.2219,1176.8,7.7,57.9,0
11/1/1976,1.279090909,1641,40.766,1189,7.8,58.1,0
12/1/1976,1.427391304,1804,41.2083,1211.5,7.8,58.4,0
1/1/1977,1.313809524,1527,41.0659,1215,7.5,58.7,0
2/1/1977,1.2375,1943,41.8335,1231.3,7.6,59.3,0
3/1/1977,1.373478261,2063,42.444,1238.3,7.4,59.6,0
4/1/1977,1.34,1892,42.8761,1247.3,7.2,60,0
5/1/1977,1.147272727,1971,43.2292,1257.1,7,60.2,0
6/1/1977,1.148181818,1893,43.6118,1263.6,7.2,60.5,0
7/1/1977,0.954761905,2058,43.6132,1280.5,6.9,60.8,0
8/1/1977,0.785217391,2020,43.8519,1285.7,7,61.1,0
9/1/1977,0.600909091,1949,43.856,1294.5,6.8,61.3,0
10/1/1977,0.397619048,2042,43.9496,1311.4,6.8,61.6,0
11/1/1977,0.375454545,2042,44.0722,1327,6.8,62,0
12/1/1977,0.485454545,2142,44.5519,1336,6.4,62.3,0
1/1/1978,0.449090909,1718,43.8768,1329.5,6.4,62.7,0
2/1/1978,0.4215,1738,44.035,1355.1,6.3,63,0
3/1/1978,0.440869565,2032,44.8221,1377.5,6.3,63.4,0
4/1/1978,0.4105,2197,45.5167,1396.4,6.1,63.9,0
5/1/1978,0.31,2075,45.7574,1412,6,64.5,0
6/1/1978,0.222727273,2070,46.0971,1425.8,5.9,65,0
7/1/1978,0.143333333,2092,46.0535,1426.8,6.2,65.5,0
8/1/1978,0.044347826,1996,46.3195,1447,5.9,65.9,0
9/1/1978,-0.141904762,1970,46.5614,1452.9,6,66.5,0
10/1/1978,-0.201818182,1981,46.8915,1466.9,5.8,67.1,0
11/1/1978,-0.563181818,2094,47.3334,1480.6,5.9,67.5,0
12/1/1978,-0.675238095,2044,47.6714,1496.5,6,67.9,0
1/1/1979,-0.727391304,1630,47.3248,1502.4,5.9,68.5,0
2/1/1979,-0.5565,1520,47.4654,1517.8,5.9,69.2,0
3/1/1979,-0.672272727,1847,47.6943,1531.2,5.8,69.9,0
4/1/1979,-0.568095238,1748,46.8944,1538.4,5.8,70.6,0
5/1/1979,-0.485217391,1876,47.5489,1558.8,5.6,71.4,0
6/1/1979,-0.306666667,1913,47.5999,1575.7,5.7,72.2,0
7/1/1979,-0.179090909,1760,47.6303,1586.1,5.7,73,0
8/1/1979,-0.429130435,1778,47.0076,1615.6,6,73.7,0
9/1/1979,-0.6855,1832,47.064,1633.9,5.9,74.4,0
10/1/1979,-1.138695652,1681,47.3149,1641.6,6,75.2,0
11/1/1979,-0.997727273,1524,47.1364,1657.3,5.9,76,0
12/1/1979,-0.956666667,1498,47.287,1666.3,6,76.9,0
1/1/1980,-0.665652174,1341,47.525,1697.3,6.3,78,1
2/1/1980,-0.908095238,1350,47.4562,1701.4,6.3,79,1
3/1/1980,-2.135714286,1047,47.0636,1708.2,6.3,80.1,1
4/1/1980,-0.981818182,1051,46.0841,1695.2,6.9,80.9,1
5/1/1980,0.698181818,927,44.6476,1700.1,7.5,81.7,1
6/1/1980,1.05,1196,43.9261,1718.8,7.6,82.5,1
7/1/1980,1.165217391,1269,43.4275,1747.1,7.8,82.6,1
8/1/1980,0.574285714,1436,43.7442,1763.8,7.7,83.2,0
9/1/1980,-0.063181818,1471,44.5102,1780.5,7.5,83.9,0
10/1/1980,-0.322173913,1523,45.3538,1817.1,7.5,84.7,0
11/1/1980,-0.705,1510,46.169,1826.8,7.5,85.6,0
12/1/1980,-1.179130435,1482,46.3542,1851.7,7.2,86.4,0
1/1/1981,-0.662272727,1547,46.1677,1870,7.5,87.2,0
